,id,food_entity,disease_entity,sentence,disease_doid,is_cause,is_treat,work_sentence
112,112,olive oil,carcinogenic,"the beneficial effects of olive oil phenols attributed to a variety of biological activities including free radical scavenging/antioxidant actions, anti-inflammatory effects, anti-carcinogenic properties, and anti-microbial activities",,0.0,1.0,"the beneficial effects of olive oil phenols attributed to a variety of biological activities including free radical scavenging/antioxidant actions, anti-inflammatory effects, anti-carcinogenic properties, and anti-microbial activities"
113,113,vegetables,kidney stones,content of fruits and vegetables associated with a balanced intake of low-fat dairy products carries the lowest risk for incident kidney stones,DOID:585,0.0,1.0,content of fruits and vegetables associated with a balanced intake of low-fat dairy products carries the lowest risk for incident kidney stones
114,114,beef,bovine respiratory disease,bovine respiratory disease (brd) is a major cause of morbidity and mortality in beef cattle,,0.0,0.0,bovine respiratory disease (brd) is a major cause of morbidity and mortality in beef cattle
115,115,fruit,hypertension,"consumption of vegetables and fruit reduces the risk of hypertension, coronary heart disease, stroke, and",DOID:10763,0.0,1.0,"consumption of vegetables and fruit reduces the risk of hypertension, coronary heart disease, stroke, and"
116,116,unbalanced diets,"impaired cognition, termed 'gut-brain axis'","high fat and other unbalanced diets and impaired cognition, termed 'gut-brain axis'",,0.0,0.0,"high fat and other unbalanced diets and impaired cognition, termed 'gut-brain axis'"
117,117,folic acid,inflammatory bowel diseases,folic acid (vitamin b9) is often associated with inflammatory bowel diseases since reduced overall folate concentration,DOID:0050589,0.0,0.0,folic acid (vitamin b9) is often associated with inflammatory bowel diseases since reduced overall folate concentration
118,118,salt,death and disability,diets high in salt are a leading risk for death and disability globally,,1.0,0.0,diets high in salt are a leading risk for death and disability globally
119,119,milk,cognitive impairment,milk and other dairy products may contribute to the prevention of physical and cognitive impairment,,0.0,1.0,milk and other dairy products may contribute to the prevention of physical and cognitive impairment
120,120,tea consumption,cardiovascular disease,on the relation between tea consumption and risks of cardiovascular disease (cvd) and all-cause mortality among,,0.0,0.0,on the relation between tea consumption and risks of cardiovascular disease (cvd) and all-cause mortality among
121,121,wheat flour,neural tube defects,"cereal grains (e.g., wheat flour) with folic acid, which began in the united states in 1998, is an example of a successful intervention that significantly reduced the rate of neural tube defects (ntds",DOID:0080074,0.0,1.0,"cereal grains (e.g., wheat flour) with folic acid, which began in the united states in 1998, is an example of a successful intervention that significantly reduced the rate of neural tube defects (ntds"
122,122,cereal,coronary disease,"mixed linked beta-d-glucan from cereal grains is a valuable component of a healthy diet, which reduces risks of coronary disease and diabetes",DOID:3393,0.0,1.0,"mixed linked beta-d-glucan from cereal grains is a valuable component of a healthy diet, which reduces risks of coronary disease and diabetes"
123,123,licorice,neurodegenerative diseases,"red pepper, black pepper, licorice, clove, ginger, garlic, coriander, and cinnamon target inflammatory pathways, thereby may prevent neurodegenerative diseases",DOID:1289,0.0,1.0,"red pepper, black pepper, licorice, clove, ginger, garlic, coriander, and cinnamon target inflammatory pathways, thereby may prevent neurodegenerative diseases"
124,124,olive oil,cvds,"polyphenols of olive oil (oo), virgin olive oil (voo), and extra virgin olive oil contribute an essential role for the management of cvds",,0.0,1.0,"polyphenols of olive oil (oo), virgin olive oil (voo), and extra virgin olive oil contribute an essential role for the management of cvds"
125,125,zinc,alzheimer's disease,"alzheimer's disease (ad) is a multifactorial neurodegenerative disorder, characterized by the formation, aggregation and accumulation of amyloid beta, perturbed metal (copper, iron and zinc) homeostasis, metal-induced oxidative stress, neuroinflammation",DOID:10652,0.0,0.0,"alzheimer's disease (ad) is a multifactorial neurodegenerative disorder, characterized by the formation, aggregation and accumulation of amyloid beta, perturbed metal (copper, iron and zinc) homeostasis, metal-induced oxidative stress, neuroinflammation"
126,126,fruits,heart disease,"nuts, whole grains, fruits, and vegetables contain an abundance of phenolic compounds, terpenoids, pigments, and other natural antioxidants that have been associated with protection from and/or treatment of chronic disease such as heart disease, cancer, diabetes, and hypertension as",DOID:114,0.0,1.0,"nuts, whole grains, fruits, and vegetables contain an abundance of phenolic compounds, terpenoids, pigments, and other natural antioxidants that have been associated with protection from and/or treatment of chronic disease such as heart disease, cancer, diabetes, and hypertension as"
127,127,ginkgo biloba,cough,"ginkgo biloba has long been used in ancient china for the treatment of cough, asthma, and other lung diseases",,0.0,1.0,"ginkgo biloba has long been used in ancient china for the treatment of cough, asthma, and other lung diseases"
128,128,shrimp,allergy,"failed to detect an allergy sensitization caused by dust mite, shrimp, anisakis, or seed storage proteins",,1.0,0.0,"failed to detect an allergy sensitization caused by dust mite, shrimp, anisakis, or seed storage proteins"
129,129,fruits,mental disorders,"prevention and treatment of mental disorders has been suggested, while vegetables and fruits have a high content of",,0.0,0.0,"prevention and treatment of mental disorders has been suggested, while vegetables and fruits have a high content of"
130,130,bertholletia excelsa,cognitive decline,"a selenium-rich brazil nut (bertholletia excelsa) has shown potential in reducing cognitive decline in mci patients, and could",,0.0,1.0,"a selenium-rich brazil nut (bertholletia excelsa) has shown potential in reducing cognitive decline in mci patients, and could"
131,131,broccoli,cartilage destruction,"which is found in broccoli, can prevent cartilage destruction in cells, in in vitro",,0.0,1.0,"which is found in broccoli, can prevent cartilage destruction in cells, in in vitro"
132,132,olive oil,coronary heart disease,"amount of total fat, olive oil, type of meat and wine intake; milk vs. cheese; fruits and vegetables; and the rates of coronary heart disease and cancer, with the lower",DOID:3393,0.0,0.0,"amount of total fat, olive oil, type of meat and wine intake; milk vs. cheese; fruits and vegetables; and the rates of coronary heart disease and cancer, with the lower"
133,133,fig,allergy,the first case of fig allergy that occurred as a cross-reactivity between fig and derp,,1.0,0.0,the first case of fig allergy that occurred as a cross-reactivity between fig and derp
134,134,malnutrition,tuberculosis,"causes of death were: tuberculosis, pneumonia, malnutrition and typhoid fever",DOID:399,0.0,0.0,"causes of death were: tuberculosis, pneumonia, malnutrition and typhoid fever"
135,135,hard water,atopic dermatitis,"of dead sea salt, hard water, commercial baby cleansers, oatmeal, rice, and natural oils as bathing additives for the treatment of atopic dermatitis",DOID:3310,0.0,1.0,"of dead sea salt, hard water, commercial baby cleansers, oatmeal, rice, and natural oils as bathing additives for the treatment of atopic dermatitis"
136,136,drugs,infections,"exposure to certain food, drugs, or infections can trigger acute hemolytic anemia",,0.0,0.0,"exposure to certain food, drugs, or infections can trigger acute hemolytic anemia"
137,137,eicosapentaenoic acid,neurodegenerative diseases,"docosahexaenoic acid (dha) and eicosapentaenoic acid (epa), have been reported to prevent neurodegenerative diseases such as alzheimer's disease (ad",DOID:1289,0.0,1.0,"docosahexaenoic acid (dha) and eicosapentaenoic acid (epa), have been reported to prevent neurodegenerative diseases such as alzheimer's disease (ad"
138,138,whey protein,lipemia,"recently, we demonstrated that whey protein (wp) combined with low dietary fiber improved lipemia, a risk factor for cardiovascular",,0.0,1.0,"recently, we demonstrated that whey protein (wp) combined with low dietary fiber improved lipemia, a risk factor for cardiovascular"
